,TONDUR,EngSpDist_K1,EngSpDist_K2,EngSpDist_K3,EngSpDist_K4,EngSpDist_K5,EngSpDist_K6,EngSpDist_K7,AmbTempDist_K5,AmbTempDist_K6,AmbTempDist_K7,AmbTempDist_K8,AmbTempDist_K9,AmbTempDist_K10,MILEAGE,SlopeAmbTempDist,LABEL
5202,15.096209431378124,14.151536766558346,13.975439511367673,12.907408457546916,10.647560710030827,8.989294618744118,7.793792967685271,7.120525209868786,0.0,3.2188758248682006,6.917705609835305,7.60887062919126,4.787491742782046,0.0,10.262280252445862,4.449685283147696,0
5736,12.905303532761701,12.01849892021454,11.519048679768128,10.32663212058228,9.254357257392957,8.295698280347553,6.830334132013552,6.37178277279419,0.0,2.4849066497880004,3.8501476017100584,5.19295685089021,5.181783550292085,0.0,7.943427767876373,2.697081169731636,0
1098,14.905508751618326,13.735936365520335,13.54837763147988,13.064130480631936,11.86171510142662,10.114943064055147,9.14889040965996,7.964538121376407,0.0,2.70805020110221,4.454347296253507,6.1092475827643655,6.5337888379333435,3.5553480614894135,10.486791964913891,3.855164011998074,1
2705,13.597693048077472,12.484437068193905,12.476055125257554,11.824144360393593,8.719415409916529,6.3298991427569264,4.571613402459248,3.414442608412176,0.0,2.772588722239781,5.393627546352362,6.461468176353717,4.912654885736052,1.6094379124341003,8.987696695703624,3.413844343362923,0
1916,14.809684868269102,14.526241779124975,13.115187290774555,10.410684600978101,7.0515092426268335,4.779963476361254,3.6988297849671046,2.8390784635086144,0.6931471805599453,4.574710978503383,5.945420608606575,6.169610732491456,3.4657359027997265,0.6931471805599453,9.015541293671115,3.191598055455703,1
4421,13.252465070326902,12.043807213311013,12.058398861919363,11.49768897697481,10.280131286435848,8.593561464307387,7.548766705121554,6.664409020350408,2.70805020110221,4.454347296253507,5.0238805208462765,4.709530201312334,1.3862943611198906,0.0,8.989319566042951,2.032921526044943,0
3570,13.14954810161553,12.102797176872523,11.931869325190823,11.242698167726486,9.319759639744724,7.242869450993779,4.617098756853365,3.122364924487357,1.6094379124341003,4.6913478822291435,5.043425116919247,4.927253685157205,2.4849066497880004,0.0,8.556798446008598,2.2025973236386096,0
3014,15.366417998069464,14.502852470515982,14.291508062992838,13.3673546790106,11.760731969898401,9.417574029466355,7.783265682134672,6.61324998118223,3.5263605246161616,5.849324779946859,6.481577129276431,6.736966958001855,6.021023349349527,0.0,10.79573146325173,4.055309690385111,1
112,14.230166434603776,13.15214700873885,13.306614238559831,11.938852460139273,9.589988402186428,7.67777090379866,5.983936280687191,4.5736795188967205,0.0,4.5217885770490405,6.84587987526405,5.568344503761097,0.0,0.0,9.533799735803484,3.278401804182228,0
2466,13.833018004327045,12.785705603572152,12.633582962506903,12.244471867505801,9.201339989778884,7.7959757002612005,6.7071068054952985,6.180844468269383,0.0,3.7376696182833684,6.059123195581797,5.375278407684165,2.0794415416798357,0.0,9.385972940619341,2.761543094798548,0
3137,14.975000330594138,13.89433578634904,13.901762930316078,13.373256405797662,12.223494991222044,9.205468523772415,6.563573399290871,5.545958389462633,3.1354942159291497,5.5134287461649825,5.7899601708972535,5.91350300563827,4.6443908991413725,0.0,10.79812554671483,3.171466525048424,0
4737,14.717681472745747,13.849549406880925,13.66242056540933,12.411603194568704,10.945393678024718,9.927950870547823,8.788669659521085,7.7024657749515235,0.6931471805599453,5.877735781779639,6.949856455000773,6.093569770045136,3.2188758248682006,0.0,9.897268252722212,3.597561295579149,0
3805,13.491208068656555,12.271193497080473,12.269726087600798,11.453857817939245,9.06419258341752,6.324179734851483,2.8390784635086144,2.0918640616783932,0.0,1.0986122886681098,5.153291594497779,5.659482215759621,4.574710978503383,0.0,8.875985891325971,2.826057678460804,0
342,12.817419032221652,11.458029900718614,11.537709780672815,11.2409277474385,9.588879542145092,7.38168867656372,6.627379781712794,5.996452088619021,0.0,2.3978952727983707,5.214935757608986,4.356708826689592,1.0986122886681098,0.0,8.65591111072806,1.9178134808378626,0
154,14.862341117190377,13.359035957298273,14.038022309735178,13.351560886480211,10.874777702628888,9.285095277680405,8.500169100410442,7.919174355947869,2.5649493574615367,6.198478716492308,6.369900982828227,5.1298987149230735,0.0,0.0,10.61206507075143,2.975220303824852,0
4005,13.472976586092456,12.723485724292646,12.33035849200743,10.520797959734022,8.569614848962573,7.090410113566212,5.952723718791551,4.873669439023098,0.0,2.0794415416798357,5.429345628954441,5.424950017481403,2.1972245773362196,0.0,8.32020459757888,2.514269296673875,0
4358,13.418518848998227,12.603207486439755,12.276543224669181,10.965103851517512,8.944471975201976,6.296925140911405,5.258016069774511,4.505349850705881,0.0,3.258096538021482,4.356708826689592,5.940171252720432,4.852030263919617,2.0794415416798357,8.565030520830398,2.985987982079313,0
1478,13.953313974984477,13.052221774949956,13.100766228917717,11.257869330945383,7.509116063911374,6.493148512956689,4.14946386144318,3.5085558999826545,0.0,0.0,3.871201010907891,6.0063531596017325,5.929589143389895,3.044522437723423,9.260843354149289,3.4380843714692166,0
4372,14.815460146740712,14.088052393267477,13.784312005066143,12.146722242801676,10.574245964617663,9.020353511664474,7.954231813229718,6.934883946370389,5.5093883366279774,6.4425401664681985,6.517671272912275,6.665683717782408,3.871201010907891,0.0,9.863446502998944,3.7052597136623073,0
3761,14.807342582868266,13.828863114480566,13.894559695287144,12.313165859199428,9.866750951420121,7.835144197522325,6.394426524998027,5.28776185260852,0.0,5.598421958998375,6.577861357721047,6.754604099487962,5.5134287461649825,0.0,10.006089266196847,3.9538045394431007,0
3903,14.270290517966014,13.607573425780792,13.148970448931093,11.261679462919624,8.860626855263828,7.029087564149662,5.248601774302104,4.33990170837321,4.820281565605037,5.802118375377063,5.501258210544727,5.017279836814924,2.772588722239781,0.0,9.155039056191093,2.4727113766941824,0
2204,13.966115673987884,13.203284160994809,12.87694354182569,10.933431916916225,8.22424393835805,7.091492499917254,5.560681631015528,4.66814498514948,0.0,3.5553480614894135,5.993961427306569,6.318968113746434,2.995732273553991,0.0,8.770749549138642,3.260889835927095,0
993,15.293021641201726,14.328125959122746,14.031385194613547,12.625750604194673,11.25310625909185,10.201304344780986,9.465238371588441,8.81309637771459,0.0,2.772588722239781,5.8664680569332965,7.057897937411856,7.56734567601324,5.560681631015528,10.353001443478973,4.93307771142824,1
1611,13.305341885025493,12.441295349257063,12.262124947854268,11.013809349868971,8.506839779336746,7.239430313119546,5.949339620807311,5.0632277442154265,0.0,4.02535169073515,5.204006687076795,5.272999558563747,3.367295829986474,0.0,8.575273402492762,2.458811539005149,0
